life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_b,measles,bmi,under-five_deaths,polio,total_expenditure,diphtheria,hiv/aids,thinness_1-19_years,schooling,status_Developing
65.0,263.0,62,0.01,71.27962362,65.0,1154,19.1,83,6.0,8.16,65.0,0.1,17.2,10.1,1
59.9,271.0,64,0.01,73.52358168,62.0,492,18.6,86,58.0,8.18,62.0,0.1,17.5,10.0,1
59.9,268.0,66,0.01,73.21924272,64.0,430,18.1,89,62.0,8.13,64.0,0.1,17.7,9.9,1
59.5,272.0,69,0.01,78.18421529999999,67.0,2787,17.6,93,67.0,8.52,67.0,0.1,17.9,9.8,1
59.2,275.0,71,0.01,7.097108703,68.0,3013,17.2,97,68.0,7.87,68.0,0.1,18.2,9.5,1
58.8,279.0,74,0.01,79.67936736,66.0,1989,16.7,102,66.0,9.2,66.0,0.1,18.4,9.2,1
58.6,281.0,77,0.01,56.76221682,63.0,2861,16.2,106,63.0,9.42,63.0,0.1,18.6,8.9,1
58.1,287.0,80,0.03,25.87392536,64.0,1599,15.7,110,64.0,8.33,64.0,0.1,18.8,8.7,1
57.5,295.0,82,0.02,10.91015598,63.0,1141,15.2,113,63.0,6.73,63.0,0.1,19.0,8.4,1
57.3,295.0,84,0.03,17.17151751,64.0,1990,14.7,116,58.0,7.43,58.0,0.1,19.2,8.1,1
57.3,291.0,85,0.02,1.388647732,66.0,1296,14.2,118,58.0,8.7,58.0,0.1,19.3,7.9,1
57.0,293.0,87,0.02,15.29606643,67.0,466,13.8,120,5.0,8.79,5.0,0.1,19.5,6.8,1
56.7,295.0,87,0.01,11.08905273,65.0,798,13.4,122,41.0,8.82,41.0,0.1,19.7,6.5,1
56.2,3.0,88,0.01,16.88735091,64.0,2486,13.0,122,36.0,7.76,36.0,0.1,19.9,6.2,1
55.3,316.0,88,0.01,10.5747282,63.0,8762,12.6,122,35.0,7.8,33.0,0.1,2.1,5.9,1
54.8,321.0,88,0.01,10.42496,62.0,6532,12.2,122,24.0,8.2,24.0,0.1,2.3,5.5,1
77.8,74.0,0,4.6,364.9752287,99.0,0,58.0,0,99.0,6.0,99.0,0.1,1.2,14.2,1
77.5,8.0,0,4.51,428.74906680000004,98.0,0,57.2,1,98.0,5.88,98.0,0.1,1.2,14.2,1
77.2,84.0,0,4.76,430.8769785,99.0,0,56.5,1,99.0,5.66,99.0,0.1,1.3,14.2,1
76.9,86.0,0,5.14,412.4433563,99.0,9,55.8,1,99.0,5.59,99.0,0.1,1.3,14.2,1
76.6,88.0,0,5.37,437.0621,99.0,28,55.1,1,99.0,5.71,99.0,0.1,1.4,13.3,1
76.2,91.0,1,5.28,41.82275719,99.0,10,54.3,1,99.0,5.34,99.0,0.1,1.4,12.5,1
76.1,91.0,1,5.79,348.0559517,98.0,0,53.5,1,98.0,5.79,98.0,0.1,1.5,12.2,1
